origin;destination;id;origin_port_id;destination_port_id
Santos;New Orleans;1;1;3
New Orleans;Santos;2;3;1
Santos;San Lorenzo;3;1;5
San Lorenzo;Santos;4;5;1
Santos;Abidjan;5;1;6
Abidjan;Santos;6;6;1
Santos;Taichung;7;1;8
Taichung;Santos;8;8;1
Santos;Kohsichang;9;1;9
Kohsichang;Santos;10;9;1
Santos;Casablanca;11;1;13
Casablanca;Santos;12;13;1
Santos;Amsterdam;13;1;14
Amsterdam;Santos;14;14;1
Santos;Fredericia;15;1;15
Fredericia;Santos;16;15;1
New Orleans;San Lorenzo;17;3;5
San Lorenzo;New Orleans;18;5;3
New Orleans;Abidjan;19;3;6
Abidjan;New Orleans;20;6;3
New Orleans;Taichung;21;3;8
Taichung;New Orleans;22;8;3
New Orleans;Kohsichang;23;3;9
Kohsichang;New Orleans;24;9;3
New Orleans;Casablanca;25;3;13
Casablanca;New Orleans;26;13;3
New Orleans;Amsterdam;27;3;14
Amsterdam;New Orleans;28;14;3
New Orleans;Fredericia;29;3;15
Fredericia;New Orleans;30;15;3
San Lorenzo;Abidjan;31;5;6
Abidjan;San Lorenzo;32;6;5
San Lorenzo;Taichung;33;5;8
Taichung;San Lorenzo;34;8;5
San Lorenzo;Kohsichang;35;5;9
Kohsichang;San Lorenzo;36;9;5
San Lorenzo;Casablanca;37;5;13
Casablanca;San Lorenzo;38;13;5
San Lorenzo;Amsterdam;39;5;14
Amsterdam;San Lorenzo;40;14;5
San Lorenzo;Fredericia;41;5;15
Fredericia;San Lorenzo;42;15;5
Abidjan;Taichung;43;6;8
Taichung;Abidjan;44;8;6
Abidjan;Kohsichang;45;6;9
Kohsichang;Abidjan;46;9;6
Abidjan;Casablanca;47;6;13
Casablanca;Abidjan;48;13;6
Abidjan;Amsterdam;49;6;14
Amsterdam;Abidjan;50;14;6
Abidjan;Fredericia;51;6;15
Fredericia;Abidjan;52;15;6
Taichung;Kohsichang;53;8;9
Kohsichang;Taichung;54;9;8
Taichung;Casablanca;55;8;13
Casablanca;Taichung;56;13;8
Taichung;Amsterdam;57;8;14
Amsterdam;Taichung;58;14;8
Taichung;Fredericia;59;8;15
Fredericia;Taichung;60;15;8
Kohsichang;Casablanca;61;9;13
Casablanca;Kohsichang;62;13;9
Kohsichang;Amsterdam;63;9;14
Amsterdam;Kohsichang;64;14;9
Kohsichang;Fredericia;65;9;15
Fredericia;Kohsichang;66;15;9
Casablanca;Amsterdam;67;13;14
Amsterdam;Casablanca;68;14;13
Casablanca;Fredericia;69;13;15
Fredericia;Casablanca;70;15;13
Amsterdam;Fredericia;71;14;15
Fredericia;Amsterdam;72;15;14
